iter	Passed	Remaining
0	131	131221
1	132	66014
2	133	44262
3	134	33390
4	135	26866
5	135	22520
6	138	19599
7	144	17902
8	145	16054
9	146	14539
10	148	13313
11	149	12271
12	149	11385
13	151	10637
14	153	10051
15	156	9645
16	158	9148
17	160	8750
18	161	8335
19	162	7963
20	163	7625
21	164	7333
22	168	7158
23	169	6900
24	170	6668
25	172	6445
26	173	6247
27	174	6065
28	176	5916
29	177	5749
30	178	5591
31	179	5441
32	185	5422
33	186	5293
34	187	5168
35	188	5052
36	189	4938
37	190	4827
38	192	4734
39	193	4632
40	193	4535
41	195	4449
42	200	4472
43	202	4398
44	203	4319
45	205	4253
46	206	4179
47	207	4107
48	208	4038
49	208	3970
50	213	3963
51	214	3908
52	215	3851
53	216	3793
54	217	3741
55	219	3696
56	220	3656
57	222	3605
58	223	3557
59	226	3553
60	228	3522
61	230	3480
62	231	3439
63	232	3397
64	233	3356
65	234	3316
66	235	3277
67	237	3248
68	237	3210
69	238	3173
70	243	3179
71	244	3154
72	246	3126
73	247	3098
74	248	3066
75	249	3037
76	251	3010
77	251	2978
78	252	2947
79	253	2916
80	254	2887
81	257	2878
82	258	2855
83	259	2832
84	260	2807
85	261	2783
86	263	2760
87	265	2746
88	266	2722
89	267	2700
90	268	2678
91	269	2661
92	274	2672
93	275	2657
94	276	2638
95	278	2620
96	279	2600
97	280	2580
98	281	2562
99	282	2545
100	283	2525
101	287	2534
102	289	2518
103	290	2500
104	291	2483
105	292	2466
106	293	2449
107	294	2432
108	295	2418
109	296	2401
110	297	2384
111	298	2368
112	302	2370
113	303	2360
114	304	2346
115	305	2331
116	306	2315
117	307	2301
118	309	2288
119	310	2274
120	311	2260
121	312	2245
122	313	2232
123	316	2237
124	318	2230
125	319	2217
126	320	2202
127	321	2189
128	322	2175
129	323	2161
130	323	2148
131	324	2135
132	325	2123
133	326	2110
134	327	2098
135	328	2086
136	329	2075
137	331	2071
138	333	2063
139	334	2053
140	335	2043
141	336	2030
142	337	2020
143	338	2009
144	339	2000
145	340	1993
146	341	1983
147	342	1972
148	343	1961
149	345	1956
150	350	1972
151	352	1965
152	354	1960
153	355	1951
154	355	1940
155	356	1931
156	357	1921
157	358	1911
158	359	1901
159	362	1901
160	362	1891
161	364	1884
162	365	1876
163	366	1867
164	367	1859
165	368	1852
166	371	1852
167	372	1844
168	373	1837
169	379	1852
170	381	1848
171	383	1844
172	384	1838
173	386	1832
174	387	1825
175	388	1817
176	389	1810
177	392	1811
178	393	1803
179	394	1796
180	395	1788
181	396	1779
182	396	1771
183	397	1764
184	398	1756
185	399	1748
186	400	1741
187	401	1733
188	402	1725
189	403	1718
190	403	1710
191	405	1706
192	407	1701
193	408	1696
194	409	1689
195	410	1683
196	411	1676
197	412	1671
198	413	1665
199	414	1658
200	415	1652
201	417	1649
202	418	1643
203	420	1638
204	421	1635
205	422	1628
206	423	1622
207	424	1615
208	425	1609
209	425	1602
210	427	1597
211	428	1591
212	428	1585
213	429	1578
214	430	1572
215	431	1566
216	432	1560
217	433	1554
218	434	1548
219	436	1546
220	437	1541
221	438	1535
222	439	1529
223	439	1524
224	441	1519
225	441	1513
226	442	1507
227	443	1502
228	444	1496
229	445	1491
230	446	1486
231	447	1480
232	448	1475
233	448	1469
234	450	1467
235	451	1463
236	452	1457
237	453	1452
238	454	1447
239	455	1442
240	456	1437
241	457	1432
242	458	1427
243	459	1422
244	459	1417
245	460	1412
246	461	1407
247	462	1402
248	463	1397
249	464	1393
250	466	1391
251	467	1386
252	467	1381
253	468	1377
254	469	1372
255	470	1367
256	471	1363
257	472	1358
258	473	1353
259	474	1349
260	474	1344
261	475	1340
262	476	1335
263	477	1331
264	478	1326
265	479	1322
266	481	1320
267	482	1316
268	483	1312
269	483	1308
270	484	1304
271	485	1299
272	486	1295
273	487	1291
274	488	1286
275	489	1282
276	489	1278
277	490	1274
278	491	1270
279	492	1266
280	493	1262
281	494	1259
282	495	1256
283	496	1252
284	498	1249
285	499	1247
286	500	1244
287	501	1240
288	503	1238
289	504	1234
290	505	1230
291	506	1226
292	506	1223
293	507	1219
294	508	1215
295	511	1216
296	512	1213
297	513	1210
298	514	1207
299	516	1205
300	518	1203
301	519	1200
302	520	1197
303	521	1194
304	522	1191
305	524	1189
306	526	1188
307	527	1186
308	529	1183
309	530	1180
310	531	1177
311	532	1173
312	533	1170
313	535	1168
314	536	1165
315	537	1162
316	538	1160
317	541	1160
318	542	1157
319	543	1155
320	544	1152
321	545	1148
322	546	1146
323	547	1142
324	548	1139
325	549	1136
326	550	1132
327	551	1129
328	552	1126
329	553	1122
330	553	1119
331	556	1120
332	557	1117
333	559	1114
334	560	1111
335	561	1109
336	562	1105
337	562	1102
338	563	1099
339	564	1096
340	565	1092
341	566	1089
342	567	1086
343	567	1083
344	568	1080
345	572	1081
346	573	1078
347	574	1075
348	575	1073
349	576	1070
350	577	1067
351	577	1063
352	578	1060
353	579	1057
354	580	1054
355	581	1051
356	582	1048
357	583	1046
358	586	1047
359	587	1044
360	588	1042
361	589	1039
362	591	1037
363	592	1034
364	593	1032
365	594	1029
366	595	1026
367	596	1024
368	597	1021
369	598	1019
370	602	1021
371	603	1019
372	605	1017
373	606	1014
374	607	1012
375	608	1010
376	609	1007
377	610	1005
378	611	1002
379	613	1000
380	614	997
381	617	999
382	618	996
383	619	994
384	620	991
385	622	989
386	623	987
387	624	984
388	625	982
389	626	980
390	627	977
391	628	975
392	631	975
393	632	973
394	634	971
395	635	968
396	636	966
397	637	964
398	638	962
399	640	960
400	641	957
401	642	955
402	643	953
403	646	953
404	647	951
405	648	949
406	650	947
407	651	944
408	652	942
409	653	940
410	654	937
411	655	935
412	656	933
413	657	930
414	658	928
415	660	927
416	662	925
417	663	923
418	664	921
419	665	918
420	666	916
421	667	914
422	668	912
423	669	910
424	670	907
425	672	905
426	673	903
427	674	900
428	676	900
429	677	898
430	678	896
431	679	893
432	680	891
433	682	890
434	683	887
435	684	885
436	685	883
437	686	881
438	687	879
439	689	876
440	691	876
441	692	874
442	693	871
443	694	869
444	695	867
445	696	865
446	697	863
447	698	861
448	699	858
449	701	856
450	702	854
451	703	852
452	704	850
453	706	849
454	707	847
455	708	845
456	709	843
457	710	841
458	711	839
459	713	837
460	714	835
461	715	833
462	716	831
463	717	828
464	718	826
465	720	825
466	721	823
467	722	821
468	724	819
469	725	817
470	726	815
471	727	813
472	728	811
473	729	809
474	730	807
475	731	805
476	732	803
477	733	801
478	735	800
479	736	798
480	738	796
481	739	794
482	740	792
483	741	790
484	742	788
485	743	786
486	744	784
487	745	782
488	746	780
489	747	778
490	748	776
491	750	775
492	752	773
493	753	772
494	755	770
495	756	768
496	757	767
497	759	765
498	760	763
499	761	761
500	762	759
501	763	757
502	765	756
503	766	754
504	768	752
505	769	750
506	770	748
507	771	746
508	772	744
509	773	742
510	774	741
511	775	739
512	776	737
513	777	735
514	778	733
515	781	732
516	782	730
517	783	729
518	784	727
519	785	725
520	787	723
521	788	721
522	789	719
523	790	717
524	791	716
525	792	714
526	793	712
527	795	711
528	796	709
529	797	707
530	798	705
531	800	703
532	801	701
533	802	700
534	803	698
535	804	696
536	805	694
537	806	692
538	807	690
539	808	689
540	811	688
541	812	686
542	813	684
543	814	682
544	815	681
545	816	679
546	817	677
547	819	675
548	820	673
549	821	671
550	822	670
551	823	668
552	825	667
553	826	665
554	828	663
555	829	662
556	830	660
557	831	658
558	832	656
559	833	655
560	834	653
561	835	651
562	837	649
563	838	647
564	839	646
565	841	644
566	842	643
567	843	641
568	844	639
569	845	637
570	846	636
571	848	634
572	849	632
573	850	630
574	851	629
575	852	627
576	853	625
577	855	624
578	856	622
579	857	621
580	858	619
581	860	617
582	861	615
583	862	614
584	863	612
585	864	610
586	865	608
587	865	606
588	866	604
589	867	602
590	868	601
591	870	600
592	871	598
593	873	596
594	874	595
595	875	593
596	876	591
597	877	589
598	878	588
599	879	586
600	880	584
601	881	582
602	882	580
603	882	578
604	883	577
605	885	575
606	886	573
607	887	572
608	888	570
609	889	568
610	889	566
611	890	564
612	891	563
613	893	561
614	894	559
615	895	558
